0,1,2,3,4,5,6,7,8,9
3.804946373102151e-36,4.283013286029027e-46,2.6191536077671037e-31,7.575154532790284e-38,2.304443118853495e-42,1.0,4.018727579553979e-22,2.1739946974187064e-38,9.897426576930163e-42,1.178326278842755e-30
9.812483415977729e-44,1.671211497237513e-55,7.363633003102228e-38,8.441062414281729e-46,2.772966535254924e-51,1.0,1.044292583624281e-26,1.8462067819301037e-46,1.6158355114725356e-50,2.1447269398464835e-36
1.4768998303918006e-28,1.2174315547129988e-36,9.32316751814099e-25,6.803328225633191e-30,1.9174949428946824e-33,1.0,1.5467919060055653e-17,2.560222845324327e-30,6.062530851043298e-33,6.476682736673867e-25
1.6940307314439945e-23,2.7946202342730684e-30,2.1749319427021576e-20,1.3652167440391953e-24,1.6973995964974297e-27,0.999999999999984,1.7634704835438063e-14,6.151501691853282e-25,4.372656659660551e-27,4.3530071272801786e-21
4.361502254576658e-31,8.431562690841917e-40,6.105413961578704e-27,1.519028188733138e-32,2.0383995979162656e-36,1.0,4.581163820884452e-19,5.2231597798942816e-33,7.138539125419365e-36,7.905591605748645e-27
3.804946373102151e-36,4.283013286029027e-46,2.6191536077671037e-31,7.575154532790284e-38,2.304443118853495e-42,1.0,4.018727579553979e-22,2.1739946974187064e-38,9.897426576930163e-42,1.178326278842755e-30
1.0,9.461830060165568e-23,1.97903257803375e-38,5.579631169106542e-18,1.2462422226591129e-25,2.8291397219499395e-30,1.338228696926657e-19,1.1728190575763973e-18,1.0846261045112336e-34,3.4965071214929186e-20
0.9999999999842584,6.9275550224715314e-15,1.0156858408762977e-24,1.046120658966129e-11,1.4071261023871599e-16,1.572913711958448e-19,9.769090566507557e-13,3.891531170532332e-12,2.4386803834905824e-22,4.044659034619772e-13
1.0,1.2124112352899443e-43,3.9190001306750726e-76,3.218456788086251e-35,1.869682435412744e-50,8.00579562786989e-60,1.8098474911556232e-38,1.3799577072397592e-36,1.16865006352632e-68,3.3517833162544866e-39
1.0,1.0093772184978615e-52,3.777746656319817e-102,1.8324117918067485e-42,2.2355927238534742e-67,8.418943948732303e-80,1.9130658735239116e-51,3.0376341312702655e-42,3.958011194439901e-92,1.7209058896849796e-50
1.0,6.0828270517929e-38,9.94209660179338e-69,1.530283770029452e-28,4.202265891371343e-46,1.1541143400853644e-53,1.6288552909723215e-34,5.756111169203185e-30,7.206700458495679e-62,9.211934136816228e-35
1.0,9.461830060165568e-23,1.97903257803375e-38,5.579631169106542e-18,1.2462422226591129e-25,2.8291397219499395e-30,1.338228696926657e-19,1.1728190575763973e-18,1.0846261045112336e-34,3.4965071214929186e-20
1.0,1.1055751489602565e-24,7.393980377145921e-42,1.5090092572378193e-19,6.818367435630507e-28,5.8265145246820995e-33,2.575581706789294e-21,2.7485498025450603e-20,8.857541002854933e-38,6.05008268019285e-22
